ingredient	foodon_id	foodon_label	string_score
bacterial culture (lactobacillus rhamnosus)	FOODON:03311651	bubod starter culture	85.5
bacterial culture (lactococcus lactis)	FOODON:03311651	bubod starter culture	85.5
bacterial culture (propionibacterium freudenreichii subsp. shermanii)	FOODON:03460326	bacterial food-curing process	85.5
bacterial culture (streptococcus thermophilus)	FOODON:03460326	bacterial food-curing process	85.5
black carrot	FOODON:03311673	carrot root (peeled)	85.5
cacao butter	FOODON:03400294	butter product analog (us cfr)	85.5
carob bean gum	FOODON:03460357	carob coating or covering process	85.5
culture lowfat milk	FOODON:03307493	imitation lowfat milk (fortified)	85.5
faba bean protein	NCBITaxon:3906	Vicia faba	85.5
flax seeds	FOODON:03414763	flax lily plant	85.5
fortified wheat flour	FOODON:03301116	white wheat flour (not heat treated)	85.5
goat cream	FOODON:03420160	mammalian light cream (18%-30%)	85.5
lactase enzyme	FOODON:03400406	enzyme preparation (codex)	85.5
live culture	FOODON:02020097	live emu	85.5
medium chain triglycerides	FOODON:03301798	medium cream	85.5
microbial enzyme	FOODON:00002030	microbial refined food product	85.5
milk at low temperature	FOODON:03310499	cow milk (high temperature short time)	85.5
native corn starch	FOODON:03544170	41700 - tapioca starch (efsa foodex2)	85.5
non-homogenized whole milk	FOODON:03304696	cow milk (vitamin d, pasteurized, homogenized)	85.5
partly skimmed milk	FOODON:03315758	cow milk (evaporated, partly skimmed)	85.5
plant-based yogurt	FOODON:00003193	soy yogurt	85.5
purple carrot	FOODON:00004895	Deep Purple carrot cultivar	85.5
skimmed milk	FOODON:03301484	skim milk food product	85.5
sodium bicarbonate	FOODON:03413255	sodium hydrogen acetate (sodium diacetate)	85.5
soy oil	FOODON:03541194	11940 - soyabeans for oil (efsa foodex2)	85.5
unsweetened chocolate	FOODON:03543035	30350 - bitter chocolate (efsa foodex2)	85.5
vanilla syrup	FOODON:03415045	bourbon vanilla plant	85.5
vitamin a palmitate	CHEBI:12777	vitamin A	85.5
vitamin d3	FOODON:03401302	dietary supplement, vitamin	85.5
culture nonfat milk	FOODON:03301657	nonfat dry milk	80.38461538
sodium-potassium	FOODON:03413278	sodium, potassium and calcium salts of fatty acids	78.75
tert-butylhydroquinone	FOODON:03414431	tertiary-butyl hydroquinone (tbhq)	78.57142857
non-homogenized	FOODON:03307059	potato chip (homogenized)	73.33333333
niacin	FOODON:03544477	44770 - vitamin b3   (niacin, niacinamide) (efsa foodex2)	60
reb a	NCBITaxon:403101	Carissa macrocarpa	45
citrus fibre	FOODON:03541431	14310 - tangelos (except minneolas) (efsa foodex2)	37.5
