type	Ontology ID	NTR	label	parent	term	MIFC	definition	definition source	comment	example of use	EquivalentTo	SubClassOf	has specified input	has specified output	has characteristic	see also IRI	term contributor	curation status	created
3	FOODON:03470100		preservation by adding chemical preservative	chemical food preservation	preservation by adding chemical preservative		Preservation by adding chemical preservatives (e.g., sorbic acid, sodium benzoate, BHT, calcium proprionate) to suppress or inhibit undesirable microorganisms or enzyme activity.												
3	FOODON:03470149		preservation by adding acid	preservation by adding chemical preservative	preservation by adding acid		Preservation by adding acids or salts to suppress or inhibit undesirable micro-organisms or enzyme activity.												
3	FOODON:03470154		preservation by adding inorganic acids or salts	preservation by adding acid	preservation by adding inorganic acids or salts		Preservation by adding inorganic acids or salts (e.g. SO2, H2SO4, KNO4, NaNO3).												
3	FOODON:03470155		preservation by adding organic acids or salts	preservation by adding acid	preservation by adding organic acids or salts		Preservation by adding organic acids or salts (e.g. lactic acid, acetic acid, salicylic acid).												
3	FOODON:03470156		preservation by adding antibiotics	preservation by adding chemical preservative	preservation by adding antibiotics		Preservation by adding antibiotics (e.g. nisin, tylosine, subtlin, bacitracin, chlorotetracyclin, oxytetracyclin) to kill micro organisms or stop their growth.												
																			
3	FOODON:03470145		preservation by reducing water activity	food preservation	preservation by reducing water activity		A food preservation process which lowers the water activity (relative humidity) of a food product by drying (water reduction) or by adding salt, sugar or other agents to the food.	https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/inspection-technical-guides/water-activity-aw-foods											
3	FOODON:03470146		preservation by adding sugar	preservation by reducing water activity	preservation by adding sugar		Preservation by adding sugar, sugar syrup or by partial inversion of disaccharides until the sugar concentration is high enough to prevent growth of microorganisms.												
3	FOODON:03470176		controlled atmosphere storage	food preservation	controlled atmosphere storage		Storage of fruits and vegetables in an atmosphere in which the concentrations of oxygen, carbon dioxide (and often nitrogen) are different from those in air and at a low temperature. All three (four) factors are controlled at the desired levels in order to suppress the fruits' and vegetables' natural respiration.												
3	FOODON:03470111		preservation by storage in modified atmosphere	controlled atmosphere storage	preservation by storage in modified atmosphere		Preservation by storage in an atmosphere in which the concentrations of oxygen and carbon dioxide are different from those in air. This reduces microbial and enzymatic activity; often used commercially in conjunction with refrigeration (e.g., refrigerated rail cars) for fresh meat and produce.												
3	FOODON:03470173		inert atmosphere storage	controlled atmosphere storage	inert atmosphere storage		Preservation by storage in inert gases (e.g. nitrogen) to suppress or inhibit undesirable micro-organism growth, oxidation activity, etc.												
3	FOODON:03470174		vaccum storage	controlled atmosphere storage	vaccum storage		Storing under reduced pressure (e.g. 1.3-2 kPa) in order to suppress or inhibit undesirable micro organism growth, oxidation activity, etc.												
																			
																			
3	FOODON:03470138		preservation by irradiation	completely executed planned process	preservation by irradiation		Preservation by the use of radiation to destroy or suppress undesirable microorganisms or enzyme activity.												
3	FOODON:03470152		food material preservation by irradiation	preservation by irradiation	food material preservation by irradiation		A preservation by irradiation process applied to food material.	https://en.wikipedia.org/wiki/Ionizing_radiation	LanguaL curation note: Used when an ingredient or a component of a food has been preservation by irradiation.										
3	FOODON:03470122		preservation by ionizing radiation	preservation by irradiation	preservation by ionizing radiation		The application of ionizing radiation to food with the objective of food preservation by irradiation, primarily by high energy electromagnetic waves or particles.												
3	FOODON:03460261		food ultraviolet irradiation	food irradiation	food ultraviolet irradiation		TBD: 												
1	FOODON:03000501	NTR	ultraviolet light exposed (sensu food)	irradiated (sensu food)	ultraviolet light exposed (sensu food)	ultraviolet light exposed	A characteristic of irradiated food material which indicates that it has been exposed to ultraviolet light.												
3	FOODON:03470115		surface pasteurization or disinfection by ultraviolet irradiation	preservation by irradiation	surface pasteurization or disinfection by ultraviolet irradiation		A preservation by irradiation process in which microorganisms are reduced or eliminated on or in material by exposure to ultraviolet irradiation. 		LanguaL curation note: Used when sufficient ultraviolet radiation is applied to destroy most pathogenic and spoilage organisms present on the surface or to inhibit sprouting of stored agricultural produce and destroy storage pests. When followed by refrigeration, also index *preservation by CHILLING*.										
3	FOODON:03470113		food sterilization by irradiation	preservation by ionizing radiation|food ionizing irradiation	food sterilization by irradiation		A preservation by irradiation process in which microorganisms are reduced or eliminated on or in food material by exposure to ultraviolet irradiation. 		LanguaL curation note: Used for a food product that has been packed in a hermetically sealed container and rendered commercially sterile by ionizing radiation (e.g. 24-28 kGy).										
3	FOODON:03460121		food irradiation	physical/chemical modification	food irradiation		A physical/chemical modification in which a food product or component is irradiated for any purpose.		There are three kinds of irradiation that can be applied to food: gamma, electron-beam, and X-ray										
2	FOODON:03000502	NTR	food (irradiated)	food material by characteristic	food (irradiated)		Food material which has been irradiated.												
1	FOODON:03000503	NTR	irradiated (sensu food)	food characteristic	irradiated (sensu food)	irradiated	A characteristic of food material which indicates that it has undergone food irradiation.		Irradiation changes the biochemical constitution of some/many foods, so this kind of raw food is not necessarily a child of “raw”: “Some foods, such as dairy foods and eggs, cannot be irradiated because it causes changes in flavour or texture.” [https://www.betterhealth.vic.gov.au/health/healthyliving/food-irradiation]										
3	FOODON:03460179		food ionizing irradiation	food irradiation	food ionizing irradiation		A food irradiation process in which ionizing irradiation is applied.												
3	FOODON:03470162		disinfection by irradiation	preservation by ionizing radiation	disinfection by irradiation		LanguaL curation note: Used when sufficient radiation (e.g. 1-5 k gy) is applied to destroy pathogenic and food spoilage organisms. Example: spices. Radurised food should be stored in a cool and dry place.		LanguaL curation note: Used when sufficient radiation (e.g. 1-5 k gy) is applied to destroy pathogenic and food spoilage organisms. Example: spices. Radurised food should be stored in a cool and dry place.										
																			
3	FOODON:03470120		heat treatment food preservation	food preservation	heat treatment food preservation		Preservation by the use of high temperature for a time sufficient to reduce or destroy undesirable microorganisms and enzyme activity. [FDA CFSAN 1995]												
