DISABLED	ID	parent class	label	Equivalence axiom	Animal (top level class) Equivalence	Subclass axiom	definition	comment	definition source	Exact Synonym	Broad Synonym	created	term contributor	see also	curation status	image	Curation notes	Minimum	Aves	Bovidae	Suina	Cervidae	Camelidae	Giraffoidea	Hippopotamidae	Cetacea	Ursidae	Canidae	Felidae	Pinnipedia	Musteloidea	Perissodactyla	Diprotodontia	Rodentia	Lagomorpha	Chiroptera	Eulipotyphla	Primates	Home sapiens		Bivalvia	Cephalopoda	Gastropoda	Reptilia	Echinodermata	Amphibian		Chelicerata	Crustacea	Hexapoda	Other
	FOODON:02010063	{animal} spleen 	{animal} spleen (raw)	'{animal} spleen' and 'has quality' some 'raw'			A whole raw spleen that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010064	{animal} lung 	{animal} lung (raw)	'{animal} lung' and 'has quality' some 'raw'			A whole raw lung that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010065	{animal} gizzard 	{animal} gizzard (raw)	'{animal} gizzard' and 'has quality' some 'raw'			A whole raw gizzard that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010066	{animal} tongue 	{animal} tongue (raw)	'{animal} tongue' and 'has quality' some 'raw'			A whole raw tongue that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010067	{animal} thymus 	{animal} thymus (raw)	'{animal} thymus' and 'has quality' some 'raw'			A whole raw thymus that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010068	{animal} pancreas 	{animal} pancreas (raw)	'{animal} pancreas' and 'has quality' some 'raw'			A whole raw pancreas that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010069	{animal} ovary 	{animal} ovary (raw)	'{animal} ovary' and 'has quality' some 'raw'			A whole raw ovary that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010070	{animal} testicle 	{animal} testicle (raw)	'{animal} testicle' and 'has quality' some 'raw'			A whole raw testicle that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010071	{animal} stomach 	{animal} stomach (raw)	'{animal} stomach' and 'has quality' some 'raw'			A whole raw stomach that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010072	{animal} ear 	{animal} ear (raw)	'{animal} ear' and 'has quality' some 'raw'			A whole raw ear that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release						pork																														
	FOODON:02010073	{animal} small intestine 	{animal} small intestine (raw)	'{animal} small intestine' and 'has quality' some 'raw'			A whole raw small intestine that is obtained from {animal}.					2023-08-01T21:25:29Z			ready for release						pork																														
	FOODON:02010074	{animal} piece	piece of {animal} organ	'{animal} piece' and 'derives from' some '{animal} organ'			A piece of organ that derives from an {animal} organ.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010075	piece of {animal} organ	piece of {animal} skin	'piece of animal skin' and 'derives from' some '{animal}'	'piece of animal organ' and 'derives from' some 'skin of body'		A piece of {animal} skin.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010076	piece of {animal} organ	piece of {animal} heart	'piece of animal heart' and 'derives from' some '{animal} heart'	'piece of animal organ' and 'derives from' some 'animal heart'		A piece of heart that derives from an {animal} heart.				{animal} heart	2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010077	piece of {animal} organ	piece of {animal} brain	'piece of animal brain' and 'derives from' some '{animal} brain'	'piece of animal organ' and 'derives from' some 'animal brain'		A piece of brain that derives from an {animal} brain.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010078	piece of {animal} organ	piece of {animal} kidney	'piece of animal kidney' and 'derives from' some '{animal} kidney'	'piece of animal organ' and 'derives from' some 'animal kidney'		A piece of kidney that derives from an {animal} kidney.					2023-08-01T21:25:29Z			ready for release																																				
	FOODON:02010079	piece of {animal} organ	piece of {animal} liver	'piece of animal liver' and 'derives from' some '{animal} liver'	'piece of animal organ' and 'derives from' some 'animal liver'		A piece of liver that derives from an {animal} liver.					2023-08-01T21:25:29Z			ready for release																																				
