Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	taxon	definition	definition source	Last Updated	created	term editor	Exact Synonym	Related synonym	Broad Synonym	Narrow Synonym	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	curation status	comment	image	Curation notes	term requested
ID	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|		AL IAO:0000115@en	A IAO:0000119 SPLIT=|		AT dcterms:date^^xsd:dateTime	AT IAO:0000117^^rdfs:anyURI SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image		
FOODON:03301275	seed	mung bean (whole)	'seed' and 'in taxon' some 'Vigna radiata var. radiata'		Vigna radiata var. radiata	A seed of a mung bean plant (Vigna radiata var. radiata).				http://orcid.org/0000-0002-8844-9165	mung bean											IAO:0000122				
FOODON:00003429	caryopsis fruit	whole oats	'caryopsis fruit' and ('in taxon' some 'Avena sativa' and 'in taxon' only 'Avena sativa')		Avena sativa	A caryopsis fruit of an oat plant (Avena sativa).			2020-09-09T22:33:32	http://orcid.org/0000-0002-8844-9165	oats											IAO:0000122				
FOODON:03315106	citrus fruit (whole)	orange (whole)	'hesperidium fruit' and ('in taxon' some 'Citrus sinensis' and 'in taxon' only 'Citrus sinensis')		Citrus sinensis	A hesperidium fruit of an orange tree (Citrus sinensis).	https://en.wikipedia.org/wiki/Orange_(fruit)			http://orcid.org/0000-0002-8844-9165	orange											IAO:0000122				
FOODON:00003430	caryopsis fruit	perl millet kernel	'caryopsis fruit' and ('in taxon' some 'Cenchrus americanus' and 'in taxon' only 'Cenchrus americanus')		Cenchrus americanus	A caryopsis fruit of a perl millet plant (Cenchrus americanus).			2020-09-10T02:58:48	http://orcid.org/0000-0002-8844-9165	perl millet											IAO:0000122				
FOODON:00002781	seed	pigeon pea (whole)	'seed' and ('in taxon' some 'Cajanus cajan' and 'in taxon' only 'Cajanus cajan')		Cajanus cajan	A seed of a pigeon pea plant (Cajanus cajan).	https://en.wikipedia.org/wiki/Pigeon_pea		2019-07-09T22:29:49	http://orcid.org/0000-0002-8844-9165	pigeon pea											IAO:0000122				
FOODON:03315354	shoot axis tuber	potato (whole)	'shoot axis tuber' and ('in taxon' some 'Solanum tuberosum' and 'in taxon' only 'Solanum tuberosum')		Solanum tuberosum	A shoot axis tuber of a potato plant (Solanum tuberosum).				http://orcid.org/0000-0002-8844-9165	potato											IAO:0000122				
FOODON:00003431	root	radish (whole)	'root' and ('in taxon' some 'Raphanus sativus' and 'in taxon' only 'Raphanus sativus')		Raphanus sativus	A root of a radish plant (Raphanus sativus).			2020-09-10T03:13:06	http://orcid.org/0000-0002-8844-9165	radish											IAO:0000122				
FOODON:00003433	drupelet berry	raspberry (whole)	'aggregate fruit' and ('in taxon' some 'raspberry plant' and 'in taxon' only 'raspberry plant')		raspberry plant	An aggregate fruit of a raspberry plant.			2020-09-10T03:24:33	http://orcid.org/0000-0002-8844-9165	raspberry											IAO:0000122				
FOODON:00003432	petiole	rhubarb stalk (whole)	'petiole' and ('in taxon' some 'Rheum rhabarbarum' and 'in taxon' only 'Rheum rhabarbarum')		Rheum rhabarbarum	A petiole of a rhubarb plant (Rheum rhabarbarum).			2020-09-10T03:17:01	http://orcid.org/0000-0002-8844-9165	rhubart stalk											IAO:0000122				
FOODON:00003434	caryopsis fruit	whole grain rice	'caryopsis fruit' and ('in taxon' some 'Oryza sativa' and 'in taxon' only 'Oryza sativa')		Oryza sativa	 A caryopsis fruit of a rice plant (Oryza sativa).			2020-09-10T03:37:39	http://orcid.org/0000-0002-8844-9165												IAO:0000122				
FOODON:00003440	hypocotyl	rutabaga (whole)	'hypocotyl' and 'in taxon' some 'Brassica napus subsp. rapifera'		Brassica napus subsp. rapifera	A hypocotyl of a rutabaga plant (Brassica napus subsp. rapifera).			2020-09-10T04:30:20	http://orcid.org/0000-0002-8844-9165	rutabaga											IAO:0000122				
FOODON:00003441	anther	saffron thread	'anther' and ('in taxon' some 'Crocus sativus' and 'in taxon' only 'Crocus sativus')		Crocus sativus	An anther of a saffron plant (Crocus sativus).	https://en.wikipedia.org/wiki/Saffron		2020-09-10T04:36:16	http://orcid.org/0000-0002-8844-9165	saffron											IAO:0000122				
FOODON:00003442	rosette leaf	siberian kale leaf (whole)	'leaf' and 'in taxon' some 'Brassica napus var. pabularia'		Brassica napus var. pabularia	A leaf of a siberian kale plant (Brassica napus var. pabularia).			2020-09-10T04:47:48	http://orcid.org/0000-0002-8844-9165	siberian kale leaf											IAO:0000122				
FOODON:03309978	caryopsis fruit	sorghum kernel	'caryopsis fruit' and 'in taxon' some Sorghum		Sorghum	A caryopsis fruit of a sorghum species plant (Sorghum).				http://orcid.org/0000-0002-8844-9165	sorghum | sorghum seed											IAO:0000122				
FOODON:03301415	seed	soybean (whole)	'seed' and ('in taxon' some 'Glycine max' and 'in taxon' only 'Glycine max')		Glycine max	A seed of a soyabean plant (Glycine max).				http://orcid.org/0000-0002-8844-9165	soy bean|soya bean|soybean											IAO:0000122				
FOODON:00003443	aggregate fruit	strawberry (whole)	'aggregate fruit' and ('in taxon' some 'Fragaria x ananassa' and 'in taxon' only 'Fragaria x ananassa')		Fragaria x ananassa	An aggregate fruit of strawberry plant  (Fragaria x ananassa).			2020-09-10T04:57:07	http://orcid.org/0000-0002-8844-9165	strawberry											IAO:0000122				
FOODON:00003412	primary root	sugar beet (whole)	'primary root' and 'in taxon' some 'Beta vulgaris subsp. vulgaris'		Beta vulgaris subsp. vulgaris	A primary root of a sugar beet plant (Beta vulgaris subsp. vulgaris).			2020-09-09T07:45:46	http://orcid.org/0000-0002-8844-9165	sugar beet											IAO:0000122				
FOODON:00003444	stem	sugar cane stem	'stem' and 'in taxon' some 'Saccharum officinarum		Saccharum officinarum	A stem of a sugar cane plant (Saccharum officinarum).			2020-09-10T05:06:55	http://orcid.org/0000-0002-8844-9165	sugar cane											IAO:0000122				
FOODON:00003445	tuberous root tuber	sweet potato (whole)	'tuberous root' and ('in taxon' some 'Ipomoea batatas' and 'in taxon' only 'Ipomoea batatas')		Ipomoea batatas	A tuberous root tuber of a sweet potato plant (Ipomoea batatas).			2020-09-10T05:12:34	http://orcid.org/0000-0002-8844-9165	sweet potato											IAO:0000122				
FOODON:03301453	berry fruit	tomato (whole)	'berry fruit' and ('in taxon' some 'Solanum lycopersicum' and 'in taxon' only 'Solanum lycopersicum')		Solanum lycopersicum	A berry fruit of a tomato plant (Solanum lycopersicum).				http://orcid.org/0000-0002-8844-9165	tomato											IAO:0000122				
FOODON:00003447	hypocotyl	turnip (whole)	'hypocotyl' and 'in taxon' some 'Brassica rapa subsp. rapa'		Brassica rapa subsp. rapa	A hypocotyl of a turnip plant (Brassica rapa subsp. rapa).			2020-09-10T05:38:38	http://orcid.org/0000-0002-8844-9165	turnip											IAO:0000122				
FOODON:00003448	shoot axis tuber	yam (whole)	'shoot axis tuber' and 'in taxon' some Dioscorea		Dioscorea	A shoot axis tuber of a yam plant (Dioscorea).			2020-09-10T05:45:46	http://orcid.org/0000-0002-8844-9165	yam											IAO:0000122				
FOODON:00003528	mushroom substance	mushroom fruitbody	'fruitbody' and 'in taxon' some 'mushroom (whole organism)'			A fruitbody of a mushroom.			2020-10-14T12:37:01	https://orcid.org/0000-0001-5275-8866	mushroom | toadstool															
FOODON:00003465	mushroom fruitbody	cultivated mushroom	'fruitbody' and ('in taxon' some 'Agaricus bisporus' and 'in taxon' only 'Agaricus bisporus')		Agaricus bisporus	A fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus		2020-10-13T05:45:46	http://orcid.org/0000-0002-8844-9165												IAO:0000122				
FOODON:00003462	cultivated mushroom	white mushroom	'fruitbody' and 'has quality' some 'white' and ('in taxon' some 'Agaricus bisporus' and 'in taxon' only 'Agaricus bisporus') and 'sexually immature organism'		Agaricus bisporus	A white-colored immature fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus		2020-10-13T05:45:46	http://orcid.org/0000-0002-8844-9165	common mushroom | button mushroom | white mushroom | white button mushroom | cultivated mushroom | table mushroom | champignon mushroom											IAO:0000122				
FOODON:00004259	white mushroom	white mushroom (raw)																								
FOODON:00003463	cultivated mushroom	brown mushroom	'fruitbody' and 'has quality' some 'brown' and ('in taxon' some 'Agaricus bisporus' and 'in taxon' only 'Agaricus bisporus') and 'sexually immature organism'		Agaricus bisporus	A brown-colored immature fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus		2020-10-13T05:45:46	http://orcid.org/0000-0002-8844-9165	Swiss brown mushroom | Roman brown mushroom | Italian brown | Italian mushroom | cremini | crimini | crimini mushroom | brown cap mushroom | chestnut mushroom											IAO:0000122				
FOODON:00004253	brown mushroom	brown mushroom (raw)																								
FOODON:00003464	cultivated mushroom	portobello mushroom	'fruitbody' and ('in taxon' some 'Agaricus bisporus' and 'in taxon' only 'Agaricus bisporus') and 'adult organism'		Agaricus bisporus	A mature fruitbody of a cultivated mushroom fungus (Agaricus bisporus).	https://en.wikipedia.org/wiki/Agaricus_bisporus		2020-10-13T05:45:46	http://orcid.org/0000-0002-8844-9165	portabella mushroom | portobella mushroom | portabella | portobello											IAO:0000122				
FOODON:00004257	portobello mushroom	portobello mushroom (raw)				A raw portobello mushroom.	https://en.wikipedia.org/wiki/Agaricus_bisporus																			
FOODON:03412032	mushroom fruitbody	morel mushroom	'fruitbody' and ('in taxon' some 'Morchella' and 'in taxon' only 'Morchella')		Morchella	A fruitbody of a Morchella fungus.	https://en.wikipedia.org/wiki/Morchella		2020-10-27T05:51:29	https://orcid.org/0000-0001-5275-8866	morel															
FOODON:00004255	morel mushroom	morel mushroom (raw)				A raw morel mushroom.	https://en.wikipedia.org/wiki/Morchella		 2022-02-20T07:43:29	http://orcid.org/0000-0002-8844-9165																
FOODON:03414551	morel mushroom	common morel	'fruitbody' and ('in taxon' some 'Morchella esculenta' and 'in taxon' only 'Morchella esculenta')		Morchella esculenta						yellow morel | true morel | sponge morel															
